"Timeperiod_Desc","Marketing_Year","MY_Definition","Commodity","Attribute_Desc","Attribute_Desc2","Amount","Unit_Desc","Table_number","Table_name"
"October","2010/11","October-September","Soybean oil","Total domestic use","Total domestic use","1478813.62635","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"October","2010/11","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","105000","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"October","2010/11","October-September","Soybean oil","Exports","Exports","440304.92988","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"October","2010/11","October-September","Soybean oil","Total disappearance","Total disappearance","1919118.55623","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"October","2010/11","October-September","Soybean oil","Ending stocks","Ending stocks","3284963","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2010/11","October-September","Soybean oil","Beginning stocks","Beginning stocks","3284963","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2010/11","October-September","Soybean oil","Production","Production","1771201.2","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2010/11","October-September","Soybean oil","Imports","Imports","17447.05663","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2010/11","October-September","Soybean oil","Total supply","Total supply","5073611.25663","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2010/11","October-September","Soybean oil","Total domestic use","Total domestic use","1291619.1663","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2010/11","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","73000","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2010/11","October-September","Soybean oil","Exports","Exports","432518.09033","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2010/11","October-September","Soybean oil","Total disappearance","Total disappearance","1724137.25663","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2010/11","October-September","Soybean oil","Ending stocks","Ending stocks","3349474","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2010/11","October-September","Soybean oil","Beginning stocks","Beginning stocks","3349474","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2010/11","October-September","Soybean oil","Production","Production","1731506.15","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2010/11","October-September","Soybean oil","Imports","Imports","18237.86336","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2010/11","October-September","Soybean oil","Total supply","Total supply","5099218.01336","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2010/11","October-September","Soybean oil","Total domestic use","Total domestic use","1172812.38969","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2010/11","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","63000","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2010/11","October-September","Soybean oil","Exports","Exports","394464.62367","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2010/11","October-September","Soybean oil","Total disappearance","Total disappearance","1567277.01336","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2010/11","October-September","Soybean oil","Ending stocks","Ending stocks","3531941","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2010/11","October-September","Soybean oil","Beginning stocks","Beginning stocks","3531941","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2010/11","October-September","Soybean oil","Production","Production","1722940","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2010/11","October-September","Soybean oil","Imports","Imports","14433.05396","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2010/11","October-September","Soybean oil","Total supply","Total supply","5269314.05396","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2010/11","October-September","Soybean oil","Total domestic use","Total domestic use","1387659.75523","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2010/11","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","150000","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2010/11","October-September","Soybean oil","Exports","Exports","466259.29873","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2010/11","October-September","Soybean oil","Total disappearance","Total disappearance","1853919.05396","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2010/11","October-September","Soybean oil","Ending stocks","Ending stocks","3415395","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2010/11","October-September","Soybean oil","Beginning stocks","Beginning stocks","3415395","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2010/11","October-September","Soybean oil","Production","Production","1500030","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2010/11","October-September","Soybean oil","Imports","Imports","16110.37888","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2010/11","October-September","Soybean oil","Total supply","Total supply","4931535.37888","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2010/11","October-September","Soybean oil","Total domestic use","Total domestic use","1254879.75337","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2010/11","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","150000","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2010/11","October-September","Soybean oil","Exports","Exports","301188.62552","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2010/11","October-September","Soybean oil","Total disappearance","Total disappearance","1556068.37888","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2010/11","October-September","Soybean oil","Ending stocks","Ending stocks","3375467","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2010/11","October-September","Soybean oil","Beginning stocks","Beginning stocks","3375467","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2010/11","October-September","Soybean oil","Production","Production","1623774","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2010/11","October-September","Soybean oil","Imports","Imports","13105.75688","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2010/11","October-September","Soybean oil","Total supply","Total supply","5012346.75688","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2010/11","October-September","Soybean oil","Total domestic use","Total domestic use","1272407.52983","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2010/11","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","190000","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2010/11","October-September","Soybean oil","Exports","Exports","330148.22705","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2010/11","October-September","Soybean oil","Total disappearance","Total disappearance","1602555.75688","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2010/11","October-September","Soybean oil","Ending stocks","Ending stocks","3409791","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2010/11","October-September","Soybean oil","Beginning stocks","Beginning stocks","3409791","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2010/11","October-September","Soybean oil","Production","Production","1504598","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2010/11","October-September","Soybean oil","Imports","Imports","13901.81061","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2010/11","October-September","Soybean oil","Total supply","Total supply","4928290.81061","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2010/11","October-September","Soybean oil","Total domestic use","Total domestic use","1397646.65384","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2010/11","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","236000","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2010/11","October-September","Soybean oil","Exports","Exports","188576.15677","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2010/11","October-September","Soybean oil","Total disappearance","Total disappearance","1586222.81061","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"April","2010/11","October-September","Soybean oil","Ending stocks","Ending stocks","3342068","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2010/11","October-September","Soybean oil","Beginning stocks","Beginning stocks","3342068","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2010/11","October-September","Soybean oil","Production","Production","1491195","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2010/11","October-September","Soybean oil","Imports","Imports","12241.8537","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2010/11","October-September","Soybean oil","Total supply","Total supply","4845504.8537","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2010/11","October-September","Soybean oil","Total domestic use","Total domestic use","1576493.77643","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2010/11","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","264000","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2010/11","October-September","Soybean oil","Exports","Exports","91688.07727","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2010/11","October-September","Soybean oil","Total disappearance","Total disappearance","1668181.8537","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"May","2010/11","October-September","Soybean oil","Ending stocks","Ending stocks","3177323","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2010/11","October-September","Soybean oil","Beginning stocks","Beginning stocks","3177323","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2010/11","October-September","Soybean oil","Production","Production","1437997","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2010/11","October-September","Soybean oil","Imports","Imports","12258.32664","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2010/11","October-September","Soybean oil","Total supply","Total supply","4627578.32664","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2010/11","October-September","Soybean oil","Total domestic use","Total domestic use","1344828.40752","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2010/11","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","311000","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2010/11","October-September","Soybean oil","Exports","Exports","129685.91912","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2010/11","October-September","Soybean oil","Total disappearance","Total disappearance","1474514.32664","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"June","2010/11","October-September","Soybean oil","Ending stocks","Ending stocks","3153064","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2010/11","October-September","Soybean oil","Beginning stocks","Beginning stocks","3153064","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2010/11","October-September","Soybean oil","Production","Production","1504674","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2010/11","October-September","Soybean oil","Imports","Imports","10838.31197","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2010/11","October-September","Soybean oil","Total supply","Total supply","4668576.31197","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2010/11","October-September","Soybean oil","Total domestic use","Total domestic use","1419762.96417","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2010/11","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","367000","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2010/11","October-September","Soybean oil","Exports","Exports","119962.34781","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2010/11","October-September","Soybean oil","Total disappearance","Total disappearance","1539725.31197","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"July","2010/11","October-September","Soybean oil","Ending stocks","Ending stocks","3128851","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2010/11","October-September","Soybean oil","Beginning stocks","Beginning stocks","3128851","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2010/11","October-September","Soybean oil","Production","Production","1458750","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2010/11","October-September","Soybean oil","Imports","Imports","13449.85869","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2010/11","October-September","Soybean oil","Total supply","Total supply","4601050.85869","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2010/11","October-September","Soybean oil","Total domestic use","Total domestic use","1618370.37032","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2010/11","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","398000","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2010/11","October-September","Soybean oil","Exports","Exports","114617.52837","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2010/11","October-September","Soybean oil","Total disappearance","Total disappearance","1732987.89869","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"August","2010/11","October-September","Soybean oil","Ending stocks","Ending stocks","2868062.96","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2010/11","October-September","Soybean oil","Beginning stocks","Beginning stocks","2868062.96","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2010/11","October-September","Soybean oil","Production","Production","1350373.78","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2010/11","October-September","Soybean oil","Imports","Imports","9218.85397","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2010/11","October-September","Soybean oil","Total supply","Total supply","4227655.59397","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2010/11","October-September","Soybean oil","Total domestic use","Total domestic use","1578787.75108","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2010/11","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","430000","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2010/11","October-September","Soybean oil","Exports","Exports","223520.57289","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2010/11","October-September","Soybean oil","Total disappearance","Total disappearance","1802308.32397","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"September","2010/11","October-September","Soybean oil","Ending stocks","Ending stocks","2425347.27","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"MY Total","2010/11","October-September","Soybean oil","Beginning stocks","Beginning stocks",NA,"Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"MY Total","2010/11","October-September","Soybean oil","Production","Production","18887582.52","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"MY Total","2010/11","October-September","Soybean oil","Imports","Imports","159001.29153","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"MY Total","2010/11","October-September","Soybean oil","Total supply","Total supply","22452363.81153","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"MY Total","2010/11","October-September","Soybean oil","Total domestic use","Total domestic use","16794082.14413","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"MY Total","2010/11","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","2737000","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"MY Total","2010/11","October-September","Soybean oil","Exports","Exports","3232934.39739","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"MY Total","2010/11","October-September","Soybean oil","Total disappearance","Total disappearance","20027016.54153","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"MY Total","2010/11","October-September","Soybean oil","Ending stocks","Ending stocks",NA,"Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"October","2015/16","October-September","Soybean oil","Beginning stocks","Beginning stocks","1854818","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"October","2015/16","October-September","Soybean oil","Production","Production","1962937","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"October","2015/16","October-September","Soybean oil","Imports","Imports","43313.27147","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"October","2015/16","October-September","Soybean oil","Total supply","Total supply","3861068.27147","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"October","2015/16","October-September","Soybean oil","Total domestic use","Total domestic use","1741066.72823","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"October","2015/16","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","407750","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"October","2015/16","October-September","Soybean oil","Exports","Exports","179632.54324","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"October","2015/16","October-September","Soybean oil","Total disappearance","Total disappearance","1920699.27147","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"October","2015/16","October-September","Soybean oil","Ending stocks","Ending stocks","1940369","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2015/16","October-September","Soybean oil","Beginning stocks","Beginning stocks","1940369","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2015/16","October-September","Soybean oil","Production","Production","1901853","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2015/16","October-September","Soybean oil","Imports","Imports","17853.0488","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2015/16","October-September","Soybean oil","Total supply","Total supply","3860075.0488","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2015/16","October-September","Soybean oil","Total domestic use","Total domestic use","1661212.86447","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2015/16","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","463630","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2015/16","October-September","Soybean oil","Exports","Exports","233004.18433","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2015/16","October-September","Soybean oil","Total disappearance","Total disappearance","1894217.0488","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"November","2015/16","October-September","Soybean oil","Ending stocks","Ending stocks","1965858","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2015/16","October-September","Soybean oil","Beginning stocks","Beginning stocks","1965858","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2015/16","October-September","Soybean oil","Production","Production","1929027","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2015/16","October-September","Soybean oil","Imports","Imports","22359.48135","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2015/16","October-September","Soybean oil","Total supply","Total supply","3917244.48135","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2015/16","October-September","Soybean oil","Total domestic use","Total domestic use","1623989.28901","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2015/16","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","435620","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2015/16","October-September","Soybean oil","Exports","Exports","320745.19235","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2015/16","October-September","Soybean oil","Total disappearance","Total disappearance","1944734.48135","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"December","2015/16","October-September","Soybean oil","Ending stocks","Ending stocks","1972510","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2015/16","October-September","Soybean oil","Beginning stocks","Beginning stocks","1972510","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2015/16","October-September","Soybean oil","Production","Production","1864887","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2015/16","October-September","Soybean oil","Imports","Imports","16889.71055","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2015/16","October-September","Soybean oil","Total supply","Total supply","3854286.71055","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2015/16","October-September","Soybean oil","Total domestic use","Total domestic use","1576553.39361","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2015/16","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","392270","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2015/16","October-September","Soybean oil","Exports","Exports","166936.31694","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2015/16","October-September","Soybean oil","Total disappearance","Total disappearance","1743489.71055","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"January","2015/16","October-September","Soybean oil","Ending stocks","Ending stocks","2110797","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2015/16","October-September","Soybean oil","Beginning stocks","Beginning stocks","2110797","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2015/16","October-September","Soybean oil","Production","Production","1795866","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2015/16","October-September","Soybean oil","Imports","Imports","27823.2181","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2015/16","October-September","Soybean oil","Total supply","Total supply","3934486.2181","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2015/16","October-September","Soybean oil","Total domestic use","Total domestic use","1539623.28032","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2015/16","October-September","Soybean oil","Domestic use, Biofuel","Domestic use, Biofuel","394760","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2015/16","October-September","Soybean oil","Exports","Exports","114685.93779","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2015/16","October-September","Soybean oil","Total disappearance","Total disappearance","1654309.2181","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"February","2015/16","October-September","Soybean oil","Ending stocks","Ending stocks","2280177","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2015/16","October-September","Soybean oil","Beginning stocks","Beginning stocks","2280177","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2015/16","October-September","Soybean oil","Production","Production","1943537","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
"March","2015/16","October-September","Soybean oil","Imports","Imports","17744.21763","Thousand pounds","8","Table 8—Soybean oil: U.S. supply and disappearance, by month, 2007/08–2023/24"
